group,question_id,variant,type,prompt,option_order,option_label,option_impact,richness,tenderness,boldness,adventure,value,precision,delta_net,delta_abs_total,tradeoff_flags,signal_keys,signal_json
flavor,flavor_a,A,Flavor,How strong do you want the beef flavor?,1,"Mild, clean beef flavor",Mild,-1,1,-2,0,0,1,-1,5,none,flavorTarget,"{""flavorTarget"":""Clean / mild""}"
flavor,flavor_a,A,Flavor,How strong do you want the beef flavor?,2,Balanced beef flavor,Balanced,0,1,1,0,0,0,2,2,none,flavorTarget,"{""flavorTarget"":""Balanced""}"
flavor,flavor_a,A,Flavor,How strong do you want the beef flavor?,3,Bold steakhouse flavor,Bold,1,0,2,0,0,0,3,3,none,flavorTarget,"{""flavorTarget"":""Bold / savory""}"
flavor,flavor_a,A,Flavor,How strong do you want the beef flavor?,4,Very bold char-forward flavor,Intense,0,0,3,1,0,-1,3,5,adventure_vs_precision,flavorTarget,"{""flavorTarget"":""Intense / char-forward""}"
flavor,flavor_b,B,Flavor,How strong do you want the beef flavor?,1,"Mild, clean beef flavor",Mild,-1,1,-2,0,0,1,-1,5,none,flavorTarget,"{""flavorTarget"":""Clean / mild""}"
flavor,flavor_b,B,Flavor,How strong do you want the beef flavor?,2,Balanced beef flavor,Balanced,0,1,1,0,0,0,2,2,none,flavorTarget,"{""flavorTarget"":""Balanced""}"
flavor,flavor_b,B,Flavor,How strong do you want the beef flavor?,3,Bold steakhouse flavor,Bold,1,0,2,0,0,0,3,3,none,flavorTarget,"{""flavorTarget"":""Bold / savory""}"
flavor,flavor_b,B,Flavor,How strong do you want the beef flavor?,4,Very bold char-forward flavor,Intense,0,0,3,1,0,-1,3,5,adventure_vs_precision,flavorTarget,"{""flavorTarget"":""Intense / char-forward""}"
flavor,flavor_c,C,Flavor Preference,How strong should the beef flavor be?,1,"Mild, clean beef flavor",Mild,-1,1,-2,0,0,1,-1,5,none,flavorTarget,"{""flavorTarget"":""Clean / mild""}"
flavor,flavor_c,C,Flavor Preference,How strong should the beef flavor be?,2,Balanced beef flavor,Balanced,0,1,1,0,0,0,2,2,none,flavorTarget,"{""flavorTarget"":""Balanced""}"
flavor,flavor_c,C,Flavor Preference,How strong should the beef flavor be?,3,Bold steakhouse flavor,Bold,1,0,2,0,0,0,3,3,none,flavorTarget,"{""flavorTarget"":""Bold / savory""}"
flavor,flavor_c,C,Flavor Preference,How strong should the beef flavor be?,4,Very bold char-forward flavor,Intense,0,0,3,1,0,-1,3,5,adventure_vs_precision,flavorTarget,"{""flavorTarget"":""Intense / char-forward""}"
richness,richness_a,A,Marbling,How much marbling do you want?,1,Lean (lower marbling),Lean,-2,0,0,0,1,1,0,4,value_vs_richness,richnessTarget,"{""richnessTarget"":""Lean""}"
richness,richness_a,A,Marbling,How much marbling do you want?,2,Moderate marbling,Balanced,1,1,0,0,0,0,2,2,none,richnessTarget,"{""richnessTarget"":""Moderate""}"
richness,richness_a,A,Marbling,How much marbling do you want?,3,Rich marbling,Rich,2,0,1,0,-1,0,2,4,richness_vs_value,richnessTarget,"{""richnessTarget"":""Rich""}"
richness,richness_a,A,Marbling,How much marbling do you want?,4,Very rich marbling,Very rich,3,0,1,0,-2,0,2,6,richness_vs_value,richnessTarget,"{""richnessTarget"":""Very rich""}"
richness,richness_b,B,Marbling,How much marbling do you want?,1,Lean (lower marbling),Lean,-2,0,0,0,1,1,0,4,value_vs_richness,richnessTarget,"{""richnessTarget"":""Lean""}"
richness,richness_b,B,Marbling,How much marbling do you want?,2,Moderate marbling,Balanced,1,1,0,0,0,0,2,2,none,richnessTarget,"{""richnessTarget"":""Moderate""}"
richness,richness_b,B,Marbling,How much marbling do you want?,3,Rich marbling,Rich,2,0,1,0,-1,0,2,4,richness_vs_value,richnessTarget,"{""richnessTarget"":""Rich""}"
richness,richness_b,B,Marbling,How much marbling do you want?,4,Very rich marbling,Very rich,3,0,1,0,-2,0,2,6,richness_vs_value,richnessTarget,"{""richnessTarget"":""Very rich""}"
richness,richness_c,C,Marbling Level,How much marbling do you want?,1,Lean (lower marbling),Lean,-2,0,0,0,1,1,0,4,value_vs_richness,richnessTarget,"{""richnessTarget"":""Lean""}"
richness,richness_c,C,Marbling Level,How much marbling do you want?,2,Moderate marbling,Balanced,1,1,0,0,0,0,2,2,none,richnessTarget,"{""richnessTarget"":""Moderate""}"
richness,richness_c,C,Marbling Level,How much marbling do you want?,3,Rich marbling,Rich,2,0,1,0,-1,0,2,4,richness_vs_value,richnessTarget,"{""richnessTarget"":""Rich""}"
richness,richness_c,C,Marbling Level,How much marbling do you want?,4,Very rich marbling,Very rich,3,0,1,0,-2,0,2,6,richness_vs_value,richnessTarget,"{""richnessTarget"":""Very rich""}"
texture,texture_a,A,Texture,What texture do you like?,1,Very tender,Tender,0,3,-1,0,0,1,3,5,none,textureTarget,"{""textureTarget"":""Very tender""}"
texture,texture_a,A,Texture,What texture do you like?,2,Tender + bite,Balanced,0,1,1,0,0,0,2,2,none,textureTarget,"{""textureTarget"":""Balanced tenderness""}"
texture,texture_a,A,Texture,What texture do you like?,3,Meaty chew,Firmer,0,-1,2,1,0,0,2,4,boldness_vs_tenderness,textureTarget,"{""textureTarget"":""Firmer chew""}"
texture,texture_a,A,Texture,What texture do you like?,4,Thin-sliced,Slice-thin,0,-1,0,1,1,1,2,4,value_vs_tenderness,textureTarget,"{""textureTarget"":""Thin-sliced""}"
texture,texture_b,B,Texture,What texture do you like?,1,Very tender,Tender,0,3,-1,0,0,1,3,5,none,textureTarget,"{""textureTarget"":""Very tender""}"
texture,texture_b,B,Texture,What texture do you like?,2,Tender + bite,Balanced,0,1,1,0,0,0,2,2,none,textureTarget,"{""textureTarget"":""Balanced tenderness""}"
texture,texture_b,B,Texture,What texture do you like?,3,Meaty chew,Firmer,0,-1,2,1,0,0,2,4,boldness_vs_tenderness,textureTarget,"{""textureTarget"":""Firmer chew""}"
texture,texture_b,B,Texture,What texture do you like?,4,Thin-sliced,Slice-thin,0,-1,0,1,1,1,2,4,value_vs_tenderness,textureTarget,"{""textureTarget"":""Thin-sliced""}"
texture,texture_c,C,Texture Preference,What bite do you want?,1,Very tender,Tender,0,3,-1,0,0,1,3,5,none,textureTarget,"{""textureTarget"":""Very tender""}"
texture,texture_c,C,Texture Preference,What bite do you want?,2,Tender + bite,Balanced,0,1,1,0,0,0,2,2,none,textureTarget,"{""textureTarget"":""Balanced tenderness""}"
texture,texture_c,C,Texture Preference,What bite do you want?,3,Meaty chew,Firmer,0,-1,2,1,0,0,2,4,boldness_vs_tenderness,textureTarget,"{""textureTarget"":""Firmer chew""}"
texture,texture_c,C,Texture Preference,What bite do you want?,4,Thin-sliced,Slice-thin,0,-1,0,1,1,1,2,4,value_vs_tenderness,textureTarget,"{""textureTarget"":""Thin-sliced""}"
method,method_a,A,Method,How will you cook it?,1,High-heat grill,Char,0,0,2,1,0,-1,2,4,adventure_vs_precision,method,"{""method"":""High-heat grill""}"
method,method_a,A,Method,How will you cook it?,2,Pan sear,Controlled,0,1,0,0,0,2,3,3,none,method,"{""method"":""Pan sear""}"
method,method_a,A,Method,How will you cook it?,3,Oven + sear,Two-stage,1,1,0,0,0,1,3,3,none,method,"{""method"":""Oven roast + sear""}"
method,method_a,A,Method,How will you cook it?,4,Low and slow,Deep flavor,0,-1,1,1,1,0,2,4,value_vs_tenderness|boldness_vs_tenderness,method,"{""method"":""Low-and-slow""}"
method,method_a,A,Method,How will you cook it?,5,Sous vide,Precise,0,1,0,0,0,3,4,4,none,method,"{""method"":""Sous vide / precision""}"
method,method_b,B,Method,How will you cook it?,1,High-heat grill,Char,0,0,2,1,0,-1,2,4,adventure_vs_precision,method,"{""method"":""High-heat grill""}"
method,method_b,B,Method,How will you cook it?,2,Pan sear,Controlled,0,1,0,0,0,2,3,3,none,method,"{""method"":""Pan sear""}"
method,method_b,B,Method,How will you cook it?,3,Oven + sear,Two-stage,1,1,0,0,0,1,3,3,none,method,"{""method"":""Oven roast + sear""}"
method,method_b,B,Method,How will you cook it?,4,Low and slow,Deep flavor,0,-1,1,1,1,0,2,4,value_vs_tenderness|boldness_vs_tenderness,method,"{""method"":""Low-and-slow""}"
method,method_b,B,Method,How will you cook it?,5,Sous vide,Precise,0,1,0,0,0,3,4,4,none,method,"{""method"":""Sous vide / precision""}"
method,method_c,C,Heat Plan,How will you cook it?,1,High-heat grill,Char,0,0,2,1,0,-1,2,4,adventure_vs_precision,method,"{""method"":""High-heat grill""}"
method,method_c,C,Heat Plan,How will you cook it?,2,Pan sear,Controlled,0,1,0,0,0,2,3,3,none,method,"{""method"":""Pan sear""}"
method,method_c,C,Heat Plan,How will you cook it?,3,Oven + sear,Two-stage,1,1,0,0,0,1,3,3,none,method,"{""method"":""Oven roast + sear""}"
method,method_c,C,Heat Plan,How will you cook it?,4,Low and slow,Deep flavor,0,-1,1,1,1,0,2,4,value_vs_tenderness|boldness_vs_tenderness,method,"{""method"":""Low-and-slow""}"
method,method_c,C,Heat Plan,How will you cook it?,5,Sous vide,Precise,0,1,0,0,0,3,4,4,none,method,"{""method"":""Sous vide / precision""}"
comfort,comfort_a,A,Cut Familiarity,How comfortable are you choosing beef cuts?,1,I can buy and cook specialty cuts,Expert,0,0,1,3,0,2,6,6,none,comfort|expertiseBand,"{""comfort"":""Expert cut fluency"",""expertiseBand"":""Expert""}"
comfort,comfort_a,A,Cut Familiarity,How comfortable are you choosing beef cuts?,2,I know the main steak cuts well,Comfortable,0,0,0,1,0,1,2,2,none,comfort|expertiseBand,"{""comfort"":""Comfortable with common cuts"",""expertiseBand"":""Intermediate""}"
comfort,comfort_a,A,Cut Familiarity,How comfortable are you choosing beef cuts?,3,I know a few common cuts,Basic,0,0,0,-1,0,1,0,2,none,comfort|expertiseBand,"{""comfort"":""Familiar basics"",""expertiseBand"":""Beginner""}"
comfort,comfort_a,A,Cut Familiarity,How comfortable are you choosing beef cuts?,4,"I want straightforward, familiar cuts",Guided,0,0,0,-1,1,-1,-1,3,none,comfort|expertiseBand,"{""comfort"":""Need guidance / recipes"",""expertiseBand"":""Beginner""}"
comfort,comfort_b,B,Cut Familiarity,How comfortable are you choosing beef cuts?,1,I can buy and cook specialty cuts,Expert,0,0,1,3,0,2,6,6,none,comfort|expertiseBand,"{""comfort"":""Expert cut fluency"",""expertiseBand"":""Expert""}"
comfort,comfort_b,B,Cut Familiarity,How comfortable are you choosing beef cuts?,2,I know the main steak cuts well,Comfortable,0,0,0,1,0,1,2,2,none,comfort|expertiseBand,"{""comfort"":""Comfortable with common cuts"",""expertiseBand"":""Intermediate""}"
comfort,comfort_b,B,Cut Familiarity,How comfortable are you choosing beef cuts?,3,I know a few common cuts,Basic,0,0,0,-1,0,1,0,2,none,comfort|expertiseBand,"{""comfort"":""Familiar basics"",""expertiseBand"":""Beginner""}"
comfort,comfort_b,B,Cut Familiarity,How comfortable are you choosing beef cuts?,4,"I want straightforward, familiar cuts",Guided,0,0,0,-1,1,-1,-1,3,none,comfort|expertiseBand,"{""comfort"":""Need guidance / recipes"",""expertiseBand"":""Beginner""}"
comfort,comfort_c,C,Cut Knowledge,How comfortable are you choosing beef cuts?,1,I can buy and cook specialty cuts,Expert,0,0,1,3,0,2,6,6,none,comfort|expertiseBand,"{""comfort"":""Expert cut fluency"",""expertiseBand"":""Expert""}"
comfort,comfort_c,C,Cut Knowledge,How comfortable are you choosing beef cuts?,2,I know the main steak cuts well,Comfortable,0,0,0,1,0,1,2,2,none,comfort|expertiseBand,"{""comfort"":""Comfortable with common cuts"",""expertiseBand"":""Intermediate""}"
comfort,comfort_c,C,Cut Knowledge,How comfortable are you choosing beef cuts?,3,I know a few common cuts,Basic,0,0,0,-1,0,1,0,2,none,comfort|expertiseBand,"{""comfort"":""Familiar basics"",""expertiseBand"":""Beginner""}"
comfort,comfort_c,C,Cut Knowledge,How comfortable are you choosing beef cuts?,4,"I want straightforward, familiar cuts",Guided,0,0,0,-1,1,-1,-1,3,none,comfort|expertiseBand,"{""comfort"":""Need guidance / recipes"",""expertiseBand"":""Beginner""}"
cuisine,cuisine_a,A,Cuisine,What style are you cooking today?,1,Steakhouse,Steakhouse,1,2,0,0,-1,1,3,5,richness_vs_value|tenderness_vs_value|precision_vs_value,cuisineStyle,"{""cuisineStyle"":""Steakhouse""}"
cuisine,cuisine_a,A,Cuisine,What style are you cooking today?,2,American grill / cookout,Grill,0,0,1,0,2,-1,2,4,none,cuisineStyle,"{""cuisineStyle"":""American grill""}"
cuisine,cuisine_a,A,Cuisine,What style are you cooking today?,3,Mexican / fajitas,Mexican,0,0,2,1,1,0,4,4,none,cuisineStyle,"{""cuisineStyle"":""Mexican / fajitas""}"
cuisine,cuisine_a,A,Cuisine,What style are you cooking today?,4,Italian / comfort dishes,Italian,0,1,-1,0,1,0,1,3,none,cuisineStyle,"{""cuisineStyle"":""Italian / comfort dishes""}"
cuisine,cuisine_a,A,Cuisine,What style are you cooking today?,5,BBQ / smokehouse,BBQ,1,0,2,1,0,0,4,4,none,cuisineStyle,"{""cuisineStyle"":""BBQ / smokehouse""}"
cuisine,cuisine_a,A,Cuisine,What style are you cooking today?,6,Asian / quick-cook,Quick-cook,0,0,0,1,1,1,3,3,none,cuisineStyle,"{""cuisineStyle"":""Asian / quick-cook""}"
cuisine,cuisine_a,A,Cuisine,What style are you cooking today?,7,No specific cuisine,Open,0,0,0,0,0,0,0,0,none,cuisineStyle,"{""cuisineStyle"":""No specific cuisine""}"
cuisine,cuisine_b,B,Cuisine,What style are you cooking today?,1,Steakhouse,Steakhouse,1,2,0,0,-1,1,3,5,richness_vs_value|tenderness_vs_value|precision_vs_value,cuisineStyle,"{""cuisineStyle"":""Steakhouse""}"
cuisine,cuisine_b,B,Cuisine,What style are you cooking today?,2,American grill / cookout,Grill,0,0,1,0,2,-1,2,4,none,cuisineStyle,"{""cuisineStyle"":""American grill""}"
cuisine,cuisine_b,B,Cuisine,What style are you cooking today?,3,Mexican / fajitas,Mexican,0,0,2,1,1,0,4,4,none,cuisineStyle,"{""cuisineStyle"":""Mexican / fajitas""}"
cuisine,cuisine_b,B,Cuisine,What style are you cooking today?,4,Italian / comfort dishes,Italian,0,1,-1,0,1,0,1,3,none,cuisineStyle,"{""cuisineStyle"":""Italian / comfort dishes""}"
cuisine,cuisine_b,B,Cuisine,What style are you cooking today?,5,BBQ / smokehouse,BBQ,1,0,2,1,0,0,4,4,none,cuisineStyle,"{""cuisineStyle"":""BBQ / smokehouse""}"
cuisine,cuisine_b,B,Cuisine,What style are you cooking today?,6,Asian / quick-cook,Quick-cook,0,0,0,1,1,1,3,3,none,cuisineStyle,"{""cuisineStyle"":""Asian / quick-cook""}"
cuisine,cuisine_b,B,Cuisine,What style are you cooking today?,7,No specific cuisine,Open,0,0,0,0,0,0,0,0,none,cuisineStyle,"{""cuisineStyle"":""No specific cuisine""}"
cuisine,cuisine_c,C,Cuisine Style,Which cooking style best fits this meal?,1,Steakhouse,Steakhouse,1,2,0,0,-1,1,3,5,richness_vs_value|tenderness_vs_value|precision_vs_value,cuisineStyle,"{""cuisineStyle"":""Steakhouse""}"
cuisine,cuisine_c,C,Cuisine Style,Which cooking style best fits this meal?,2,American grill / cookout,Grill,0,0,1,0,2,-1,2,4,none,cuisineStyle,"{""cuisineStyle"":""American grill""}"
cuisine,cuisine_c,C,Cuisine Style,Which cooking style best fits this meal?,3,Mexican / fajitas,Mexican,0,0,2,1,1,0,4,4,none,cuisineStyle,"{""cuisineStyle"":""Mexican / fajitas""}"
cuisine,cuisine_c,C,Cuisine Style,Which cooking style best fits this meal?,4,Italian / comfort dishes,Italian,0,1,-1,0,1,0,1,3,none,cuisineStyle,"{""cuisineStyle"":""Italian / comfort dishes""}"
cuisine,cuisine_c,C,Cuisine Style,Which cooking style best fits this meal?,5,BBQ / smokehouse,BBQ,1,0,2,1,0,0,4,4,none,cuisineStyle,"{""cuisineStyle"":""BBQ / smokehouse""}"
cuisine,cuisine_c,C,Cuisine Style,Which cooking style best fits this meal?,6,Asian / quick-cook,Quick-cook,0,0,0,1,1,1,3,3,none,cuisineStyle,"{""cuisineStyle"":""Asian / quick-cook""}"
cuisine,cuisine_c,C,Cuisine Style,Which cooking style best fits this meal?,7,No specific cuisine,Open,0,0,0,0,0,0,0,0,none,cuisineStyle,"{""cuisineStyle"":""No specific cuisine""}"
specialty_cuts,specialty_cuts_a,A,Specialty Cuts,How familiar are you with lesser-known cuts?,1,Very familiar,High familiarity,0,0,1,2,0,1,4,4,none,specialtyComfort,"{""specialtyComfort"":""High""}"
specialty_cuts,specialty_cuts_a,A,Specialty Cuts,How familiar are you with lesser-known cuts?,2,Somewhat familiar,Working knowledge,0,0,0,1,0,1,2,2,none,specialtyComfort,"{""specialtyComfort"":""Medium""}"
specialty_cuts,specialty_cuts_a,A,Specialty Cuts,How familiar are you with lesser-known cuts?,3,Mostly classic cuts,Classic-first,0,0,0,-1,0,1,0,2,none,specialtyComfort,"{""specialtyComfort"":""Low""}"
specialty_cuts,specialty_cuts_a,A,Specialty Cuts,How familiar are you with lesser-known cuts?,4,Not familiar,Guided,0,0,0,-2,1,-1,-2,4,none,specialtyComfort,"{""specialtyComfort"":""Minimal""}"
specialty_cuts,specialty_cuts_b,B,Specialty Cuts,How familiar are you with lesser-known cuts?,1,Very familiar,High familiarity,0,0,1,2,0,1,4,4,none,specialtyComfort,"{""specialtyComfort"":""High""}"
specialty_cuts,specialty_cuts_b,B,Specialty Cuts,How familiar are you with lesser-known cuts?,2,Somewhat familiar,Working knowledge,0,0,0,1,0,1,2,2,none,specialtyComfort,"{""specialtyComfort"":""Medium""}"
specialty_cuts,specialty_cuts_b,B,Specialty Cuts,How familiar are you with lesser-known cuts?,3,Mostly classic cuts,Classic-first,0,0,0,-1,0,1,0,2,none,specialtyComfort,"{""specialtyComfort"":""Low""}"
specialty_cuts,specialty_cuts_b,B,Specialty Cuts,How familiar are you with lesser-known cuts?,4,Not familiar,Guided,0,0,0,-2,1,-1,-2,4,none,specialtyComfort,"{""specialtyComfort"":""Minimal""}"
specialty_cuts,specialty_cuts_c,C,Specialty,How familiar are you with lesser-known cuts?,1,Very familiar,High familiarity,0,0,1,2,0,1,4,4,none,specialtyComfort,"{""specialtyComfort"":""High""}"
specialty_cuts,specialty_cuts_c,C,Specialty,How familiar are you with lesser-known cuts?,2,Somewhat familiar,Working knowledge,0,0,0,1,0,1,2,2,none,specialtyComfort,"{""specialtyComfort"":""Medium""}"
specialty_cuts,specialty_cuts_c,C,Specialty,How familiar are you with lesser-known cuts?,3,Mostly classic cuts,Classic-first,0,0,0,-1,0,1,0,2,none,specialtyComfort,"{""specialtyComfort"":""Low""}"
specialty_cuts,specialty_cuts_c,C,Specialty,How familiar are you with lesser-known cuts?,4,Not familiar,Guided,0,0,0,-2,1,-1,-2,4,none,specialtyComfort,"{""specialtyComfort"":""Minimal""}"
advanced_technique,advanced_technique_a,A,Technique Depth,Which cooking style fits you best?,1,Temp-driven reverse sear,Advanced control,0,1,0,1,0,2,4,4,none,advancedTechnique,"{""advancedTechnique"":""Temp-driven reverse sear""}"
advanced_technique,advanced_technique_a,A,Technique Depth,Which cooking style fits you best?,2,Two-zone grill control,Controlled fire,0,0,1,0,0,1,2,2,none,advancedTechnique,"{""advancedTechnique"":""Two-zone heat control""}"
advanced_technique,advanced_technique_a,A,Technique Depth,Which cooking style fits you best?,3,Marinade + hot sear,Flavor-first,0,0,1,1,1,0,3,3,none,advancedTechnique,"{""advancedTechnique"":""Marinade and high heat""}"
advanced_technique,advanced_technique_a,A,Technique Depth,Which cooking style fits you best?,4,Simple one-step cook,Simple,0,1,0,-1,0,-1,-1,3,none,advancedTechnique,"{""advancedTechnique"":""Simple single-step""}"
advanced_technique,advanced_technique_b,B,Technique Depth,Which cooking style fits you best?,1,Temp-driven reverse sear,Advanced control,0,1,0,1,0,2,4,4,none,advancedTechnique,"{""advancedTechnique"":""Temp-driven reverse sear""}"
advanced_technique,advanced_technique_b,B,Technique Depth,Which cooking style fits you best?,2,Two-zone grill control,Controlled fire,0,0,1,0,0,1,2,2,none,advancedTechnique,"{""advancedTechnique"":""Two-zone heat control""}"
advanced_technique,advanced_technique_b,B,Technique Depth,Which cooking style fits you best?,3,Marinade + hot sear,Flavor-first,0,0,1,1,1,0,3,3,none,advancedTechnique,"{""advancedTechnique"":""Marinade and high heat""}"
advanced_technique,advanced_technique_b,B,Technique Depth,Which cooking style fits you best?,4,Simple one-step cook,Simple,0,1,0,-1,0,-1,-1,3,none,advancedTechnique,"{""advancedTechnique"":""Simple single-step""}"
advanced_technique,advanced_technique_c,C,Technique,Which cooking style fits you best?,1,Temp-driven reverse sear,Advanced control,0,1,0,1,0,2,4,4,none,advancedTechnique,"{""advancedTechnique"":""Temp-driven reverse sear""}"
advanced_technique,advanced_technique_c,C,Technique,Which cooking style fits you best?,2,Two-zone grill control,Controlled fire,0,0,1,0,0,1,2,2,none,advancedTechnique,"{""advancedTechnique"":""Two-zone heat control""}"
advanced_technique,advanced_technique_c,C,Technique,Which cooking style fits you best?,3,Marinade + hot sear,Flavor-first,0,0,1,1,1,0,3,3,none,advancedTechnique,"{""advancedTechnique"":""Marinade and high heat""}"
advanced_technique,advanced_technique_c,C,Technique,Which cooking style fits you best?,4,Simple one-step cook,Simple,0,1,0,-1,0,-1,-1,3,none,advancedTechnique,"{""advancedTechnique"":""Simple single-step""}"
butcher_precision,butcher_precision_a,A,Purchase Precision,How specific are you at the meat case?,1,Exact cut and thickness,Spec-driven,0,0,0,1,0,2,3,3,none,buyPrecision,"{""buyPrecision"":""Exact spec""}"
butcher_precision,butcher_precision_a,A,Purchase Precision,How specific are you at the meat case?,2,"Exact cut, flexible thickness",Cut-specific,0,0,0,1,0,1,2,2,none,buyPrecision,"{""buyPrecision"":""Exact cut flexible thickness""}"
butcher_precision,butcher_precision_a,A,Purchase Precision,How specific are you at the meat case?,3,Cut family matters most,Flexible by family,0,0,0,0,1,1,2,2,none,buyPrecision,"{""buyPrecision"":""Family-level flexibility""}"
