group,question_id,variant,type,prompt,option_order,option_label,option_impact,richness,tenderness,boldness,adventure,value,precision,delta_net,delta_abs_total,tradeoff_flags,signal_keys,signal_json
butcher_precision,butcher_precision_a,A,Purchase Precision,How specific are you at the meat case?,4,I choose what looks best,Open choice,0,0,0,-1,1,-1,-1,3,none,buyPrecision,"{""buyPrecision"":""Open with guidance""}"
butcher_precision,butcher_precision_b,B,Purchase Precision,How specific are you at the meat case?,1,Exact cut and thickness,Spec-driven,0,0,0,1,0,2,3,3,none,buyPrecision,"{""buyPrecision"":""Exact spec""}"
butcher_precision,butcher_precision_b,B,Purchase Precision,How specific are you at the meat case?,2,"Exact cut, flexible thickness",Cut-specific,0,0,0,1,0,1,2,2,none,buyPrecision,"{""buyPrecision"":""Exact cut flexible thickness""}"
butcher_precision,butcher_precision_b,B,Purchase Precision,How specific are you at the meat case?,3,Cut family matters most,Flexible by family,0,0,0,0,1,1,2,2,none,buyPrecision,"{""buyPrecision"":""Family-level flexibility""}"
butcher_precision,butcher_precision_b,B,Purchase Precision,How specific are you at the meat case?,4,I choose what looks best,Open choice,0,0,0,-1,1,-1,-1,3,none,buyPrecision,"{""buyPrecision"":""Open with guidance""}"
butcher_precision,butcher_precision_c,C,Butcher Ask,How specific are you at the meat case?,1,Exact cut and thickness,Spec-driven,0,0,0,1,0,2,3,3,none,buyPrecision,"{""buyPrecision"":""Exact spec""}"
butcher_precision,butcher_precision_c,C,Butcher Ask,How specific are you at the meat case?,2,"Exact cut, flexible thickness",Cut-specific,0,0,0,1,0,1,2,2,none,buyPrecision,"{""buyPrecision"":""Exact cut flexible thickness""}"
butcher_precision,butcher_precision_c,C,Butcher Ask,How specific are you at the meat case?,3,Cut family matters most,Flexible by family,0,0,0,0,1,1,2,2,none,buyPrecision,"{""buyPrecision"":""Family-level flexibility""}"
butcher_precision,butcher_precision_c,C,Butcher Ask,How specific are you at the meat case?,4,I choose what looks best,Open choice,0,0,0,-1,1,-1,-1,3,none,buyPrecision,"{""buyPrecision"":""Open with guidance""}"
guidance_level,guidance_level_a,A,Guidance Style,What kind of recommendation helps most?,1,One best cut and simple steps,Direct guidance,0,0,0,-1,0,1,0,2,none,guidanceLevel,"{""guidanceLevel"":""Single cut + simple steps""}"
guidance_level,guidance_level_a,A,Guidance Style,What kind of recommendation helps most?,2,Top 3 options with swaps,Option set,0,0,0,0,1,1,2,2,none,guidanceLevel,"{""guidanceLevel"":""Top 3 + swaps""}"
guidance_level,guidance_level_a,A,Guidance Style,What kind of recommendation helps most?,3,Teach me one new cut each time,Grow skills,0,0,0,2,0,1,3,3,none,guidanceLevel,"{""guidanceLevel"":""Learn progressively""}"
guidance_level,guidance_level_a,A,Guidance Style,What kind of recommendation helps most?,4,Keep it familiar and safe,Familiar-first,0,0,0,-2,1,1,0,4,none,guidanceLevel,"{""guidanceLevel"":""Familiar only""}"
guidance_level,guidance_level_b,B,Guidance Style,What kind of recommendation helps most?,1,One best cut and simple steps,Direct guidance,0,0,0,-1,0,1,0,2,none,guidanceLevel,"{""guidanceLevel"":""Single cut + simple steps""}"
guidance_level,guidance_level_b,B,Guidance Style,What kind of recommendation helps most?,2,Top 3 options with swaps,Option set,0,0,0,0,1,1,2,2,none,guidanceLevel,"{""guidanceLevel"":""Top 3 + swaps""}"
guidance_level,guidance_level_b,B,Guidance Style,What kind of recommendation helps most?,3,Teach me one new cut each time,Grow skills,0,0,0,2,0,1,3,3,none,guidanceLevel,"{""guidanceLevel"":""Learn progressively""}"
guidance_level,guidance_level_b,B,Guidance Style,What kind of recommendation helps most?,4,Keep it familiar and safe,Familiar-first,0,0,0,-2,1,1,0,4,none,guidanceLevel,"{""guidanceLevel"":""Familiar only""}"
guidance_level,guidance_level_c,C,Guidance,What kind of recommendation helps most?,1,One best cut and simple steps,Direct guidance,0,0,0,-1,0,1,0,2,none,guidanceLevel,"{""guidanceLevel"":""Single cut + simple steps""}"
guidance_level,guidance_level_c,C,Guidance,What kind of recommendation helps most?,2,Top 3 options with swaps,Option set,0,0,0,0,1,1,2,2,none,guidanceLevel,"{""guidanceLevel"":""Top 3 + swaps""}"
guidance_level,guidance_level_c,C,Guidance,What kind of recommendation helps most?,3,Teach me one new cut each time,Grow skills,0,0,0,2,0,1,3,3,none,guidanceLevel,"{""guidanceLevel"":""Learn progressively""}"
guidance_level,guidance_level_c,C,Guidance,What kind of recommendation helps most?,4,Keep it familiar and safe,Familiar-first,0,0,0,-2,1,1,0,4,none,guidanceLevel,"{""guidanceLevel"":""Familiar only""}"
doneness,doneness_a,A,Doneness,How done do you like your beef?,1,Rare / Med-rare,Lower endpoint,1,0,1,0,0,1,3,3,none,doneness,"{""doneness"":""Rare / Medium-rare""}"
doneness,doneness_a,A,Doneness,How done do you like your beef?,2,Medium,Balanced,0,1,0,0,0,1,2,2,none,doneness,"{""doneness"":""Medium""}"
doneness,doneness_a,A,Doneness,How done do you like your beef?,3,Med-well / Well,Higher endpoint,-1,0,-1,0,1,0,-1,3,value_vs_richness,doneness,"{""doneness"":""Medium-well / Well done""}"
doneness,doneness_a,A,Doneness,How done do you like your beef?,4,Depends on cut,Varies,0,0,0,1,0,2,3,3,none,doneness,"{""doneness"":""Varies by cut""}"
doneness,doneness_b,B,Doneness,How done do you like your beef?,1,Rare / Med-rare,Lower endpoint,1,0,1,0,0,1,3,3,none,doneness,"{""doneness"":""Rare / Medium-rare""}"
doneness,doneness_b,B,Doneness,How done do you like your beef?,2,Medium,Balanced,0,1,0,0,0,1,2,2,none,doneness,"{""doneness"":""Medium""}"
doneness,doneness_b,B,Doneness,How done do you like your beef?,3,Med-well / Well,Higher endpoint,-1,0,-1,0,1,0,-1,3,value_vs_richness,doneness,"{""doneness"":""Medium-well / Well done""}"
doneness,doneness_b,B,Doneness,How done do you like your beef?,4,Depends on cut,Varies,0,0,0,1,0,2,3,3,none,doneness,"{""doneness"":""Varies by cut""}"
doneness,doneness_c,C,Finish,How done do you like your beef?,1,Rare / Med-rare,Lower endpoint,1,0,1,0,0,1,3,3,none,doneness,"{""doneness"":""Rare / Medium-rare""}"
doneness,doneness_c,C,Finish,How done do you like your beef?,2,Medium,Balanced,0,1,0,0,0,1,2,2,none,doneness,"{""doneness"":""Medium""}"
doneness,doneness_c,C,Finish,How done do you like your beef?,3,Med-well / Well,Higher endpoint,-1,0,-1,0,1,0,-1,3,value_vs_richness,doneness,"{""doneness"":""Medium-well / Well done""}"
doneness,doneness_c,C,Finish,How done do you like your beef?,4,Depends on cut,Varies,0,0,0,1,0,2,3,3,none,doneness,"{""doneness"":""Varies by cut""}"
seasoning,seasoning_a,A,Seasoning,How do you season it?,1,Salt + pepper,Simple,0,1,0,-1,0,1,1,3,none,seasoningStyle|seasoningIntent,"{""seasoningStyle"":""Salt + pepper"",""seasoningIntent"":""Simple prep""}"
seasoning,seasoning_a,A,Seasoning,How do you season it?,2,Butter + herbs,Baste,1,0,0,0,0,1,2,2,none,seasoningStyle|seasoningIntent,"{""seasoningStyle"":""Butter + herbs"",""seasoningIntent"":""Quality showcase""}"
seasoning,seasoning_a,A,Seasoning,How do you season it?,3,Dry rub or marinade,Layered,0,0,1,2,1,0,4,4,none,seasoningStyle,"{""seasoningStyle"":""Rub / marinade""}"
seasoning,seasoning_a,A,Seasoning,How do you season it?,4,Sauce-forward,Sauced,0,-1,1,0,1,0,1,3,value_vs_tenderness|boldness_vs_tenderness,seasoningStyle,"{""seasoningStyle"":""Sauce-forward""}"
seasoning,seasoning_b,B,Seasoning,How do you season it?,1,Salt + pepper,Simple,0,1,0,-1,0,1,1,3,none,seasoningStyle|seasoningIntent,"{""seasoningStyle"":""Salt + pepper"",""seasoningIntent"":""Simple prep""}"
seasoning,seasoning_b,B,Seasoning,How do you season it?,2,Butter + herbs,Baste,1,0,0,0,0,1,2,2,none,seasoningStyle|seasoningIntent,"{""seasoningStyle"":""Butter + herbs"",""seasoningIntent"":""Quality showcase""}"
seasoning,seasoning_b,B,Seasoning,How do you season it?,3,Dry rub or marinade,Layered,0,0,1,2,1,0,4,4,none,seasoningStyle,"{""seasoningStyle"":""Rub / marinade""}"
seasoning,seasoning_b,B,Seasoning,How do you season it?,4,Sauce-forward,Sauced,0,-1,1,0,1,0,1,3,value_vs_tenderness|boldness_vs_tenderness,seasoningStyle,"{""seasoningStyle"":""Sauce-forward""}"
seasoning,seasoning_c,C,Seasoning Style,How do you season it?,1,Salt + pepper,Simple,0,1,0,-1,0,1,1,3,none,seasoningStyle|seasoningIntent,"{""seasoningStyle"":""Salt + pepper"",""seasoningIntent"":""Simple prep""}"
seasoning,seasoning_c,C,Seasoning Style,How do you season it?,2,Butter + herbs,Baste,1,0,0,0,0,1,2,2,none,seasoningStyle|seasoningIntent,"{""seasoningStyle"":""Butter + herbs"",""seasoningIntent"":""Quality showcase""}"
seasoning,seasoning_c,C,Seasoning Style,How do you season it?,3,Dry rub or marinade,Layered,0,0,1,2,1,0,4,4,none,seasoningStyle,"{""seasoningStyle"":""Rub / marinade""}"
seasoning,seasoning_c,C,Seasoning Style,How do you season it?,4,Sauce-forward,Sauced,0,-1,1,0,1,0,1,3,value_vs_tenderness|boldness_vs_tenderness,seasoningStyle,"{""seasoningStyle"":""Sauce-forward""}"
portion,portion_a,A,Plating,How do you want it served?,1,Solo steak,Compact,-1,1,0,0,0,1,1,3,none,portionStyle,"{""portionStyle"":""6-8 oz single steak""}"
portion,portion_a,A,Plating,How do you want it served?,2,Steakhouse plate,Classic,1,0,1,0,0,0,2,2,none,portionStyle,"{""portionStyle"":""8-12 oz steakhouse cut""}"
portion,portion_a,A,Plating,How do you want it served?,3,Shareable sliced,Shareable,0,0,1,1,1,0,3,3,none,portionStyle,"{""portionStyle"":""Large shareable sliced cut""}"
portion,portion_a,A,Plating,How do you want it served?,4,Handheld cookout,Handheld,0,1,1,-1,3,-1,3,7,none,portionStyle,"{""portionStyle"":""Handheld cookout style""}"
portion,portion_a,A,Plating,How do you want it served?,5,Tacos / bowls,Pre-sliced,-1,0,0,1,2,0,2,4,value_vs_richness,portionStyle,"{""portionStyle"":""Thin-sliced applications""}"
portion,portion_b,B,Plating,How do you want it served?,1,Solo steak,Compact,-1,1,0,0,0,1,1,3,none,portionStyle,"{""portionStyle"":""6-8 oz single steak""}"
portion,portion_b,B,Plating,How do you want it served?,2,Steakhouse plate,Classic,1,0,1,0,0,0,2,2,none,portionStyle,"{""portionStyle"":""8-12 oz steakhouse cut""}"
portion,portion_b,B,Plating,How do you want it served?,3,Shareable sliced,Shareable,0,0,1,1,1,0,3,3,none,portionStyle,"{""portionStyle"":""Large shareable sliced cut""}"
portion,portion_b,B,Plating,How do you want it served?,4,Handheld cookout,Handheld,0,1,1,-1,3,-1,3,7,none,portionStyle,"{""portionStyle"":""Handheld cookout style""}"
portion,portion_b,B,Plating,How do you want it served?,5,Tacos / bowls,Pre-sliced,-1,0,0,1,2,0,2,4,value_vs_richness,portionStyle,"{""portionStyle"":""Thin-sliced applications""}"
portion,portion_c,C,Serve,How do you want it served?,1,Solo steak,Compact,-1,1,0,0,0,1,1,3,none,portionStyle,"{""portionStyle"":""6-8 oz single steak""}"
portion,portion_c,C,Serve,How do you want it served?,2,Steakhouse plate,Classic,1,0,1,0,0,0,2,2,none,portionStyle,"{""portionStyle"":""8-12 oz steakhouse cut""}"
portion,portion_c,C,Serve,How do you want it served?,3,Shareable sliced,Shareable,0,0,1,1,1,0,3,3,none,portionStyle,"{""portionStyle"":""Large shareable sliced cut""}"
portion,portion_c,C,Serve,How do you want it served?,4,Handheld cookout,Handheld,0,1,1,-1,3,-1,3,7,none,portionStyle,"{""portionStyle"":""Handheld cookout style""}"
portion,portion_c,C,Serve,How do you want it served?,5,Tacos / bowls,Pre-sliced,-1,0,0,1,2,0,2,4,value_vs_richness,portionStyle,"{""portionStyle"":""Thin-sliced applications""}"
budget,budget_a,A,Budget,What budget fits this meal best?,1,Premium,Premium,1,1,0,0,-3,0,-1,5,richness_vs_value|tenderness_vs_value,budget,"{""budget"":""Premium / no strict limit""}"
budget,budget_a,A,Budget,What budget fits this meal best?,2,Mid-premium,Selective,1,1,0,0,-1,0,1,3,richness_vs_value|tenderness_vs_value,budget,"{""budget"":""Mid-premium""}"
budget,budget_a,A,Budget,What budget fits this meal best?,3,Balanced,Balanced,0,0,0,0,1,1,2,2,none,budget,"{""budget"":""Moderate""}"
budget,budget_a,A,Budget,What budget fits this meal best?,4,Value,Value,0,0,1,1,3,0,5,5,none,budget,"{""budget"":""Value-focused""}"
budget,budget_a,A,Budget,What budget fits this meal best?,5,Lowest cost,Low cost,0,-1,1,0,4,0,4,6,value_vs_tenderness|boldness_vs_tenderness,budget,"{""budget"":""Lowest-cost options first""}"
budget,budget_b,B,Budget,What budget fits this meal best?,1,Premium,Premium,1,1,0,0,-3,0,-1,5,richness_vs_value|tenderness_vs_value,budget,"{""budget"":""Premium / no strict limit""}"
budget,budget_b,B,Budget,What budget fits this meal best?,2,Mid-premium,Selective,1,1,0,0,-1,0,1,3,richness_vs_value|tenderness_vs_value,budget,"{""budget"":""Mid-premium""}"
budget,budget_b,B,Budget,What budget fits this meal best?,3,Balanced,Balanced,0,0,0,0,1,1,2,2,none,budget,"{""budget"":""Moderate""}"
budget,budget_b,B,Budget,What budget fits this meal best?,4,Value,Value,0,0,1,1,3,0,5,5,none,budget,"{""budget"":""Value-focused""}"
budget,budget_b,B,Budget,What budget fits this meal best?,5,Lowest cost,Low cost,0,-1,1,0,4,0,4,6,value_vs_tenderness|boldness_vs_tenderness,budget,"{""budget"":""Lowest-cost options first""}"
budget,budget_c,C,Spend,What budget fits this meal best?,1,Premium,Premium,1,1,0,0,-3,0,-1,5,richness_vs_value|tenderness_vs_value,budget,"{""budget"":""Premium / no strict limit""}"
budget,budget_c,C,Spend,What budget fits this meal best?,2,Mid-premium,Selective,1,1,0,0,-1,0,1,3,richness_vs_value|tenderness_vs_value,budget,"{""budget"":""Mid-premium""}"
budget,budget_c,C,Spend,What budget fits this meal best?,3,Balanced,Balanced,0,0,0,0,1,1,2,2,none,budget,"{""budget"":""Moderate""}"
budget,budget_c,C,Spend,What budget fits this meal best?,4,Value,Value,0,0,1,1,3,0,5,5,none,budget,"{""budget"":""Value-focused""}"
budget,budget_c,C,Spend,What budget fits this meal best?,5,Lowest cost,Low cost,0,-1,1,0,4,0,4,6,value_vs_tenderness|boldness_vs_tenderness,budget,"{""budget"":""Lowest-cost options first""}"
priority,priority_a,A,Priority,What matters most to you?,1,Eating quality,Quality,1,1,0,0,-1,0,1,3,richness_vs_value|tenderness_vs_value,priority,"{""priority"":""Best eating quality""}"
priority,priority_a,A,Priority,What matters most to you?,2,Best value,Value,0,0,1,0,2,0,3,3,none,priority,"{""priority"":""Best value""}"
priority,priority_a,A,Priority,What matters most to you?,3,Consistency,Consistency,0,1,0,0,0,2,3,3,none,priority,"{""priority"":""Best consistency""}"
priority,priority_a,A,Priority,What matters most to you?,4,Method fit,Method,0,0,1,1,0,1,3,3,none,priority,"{""priority"":""Best fit for the cooking method""}"
priority,priority_b,B,Priority,What matters most to you?,1,Eating quality,Quality,1,1,0,0,-1,0,1,3,richness_vs_value|tenderness_vs_value,priority,"{""priority"":""Best eating quality""}"
priority,priority_b,B,Priority,What matters most to you?,2,Best value,Value,0,0,1,0,2,0,3,3,none,priority,"{""priority"":""Best value""}"
priority,priority_b,B,Priority,What matters most to you?,3,Consistency,Consistency,0,1,0,0,0,2,3,3,none,priority,"{""priority"":""Best consistency""}"
priority,priority_b,B,Priority,What matters most to you?,4,Method fit,Method,0,0,1,1,0,1,3,3,none,priority,"{""priority"":""Best fit for the cooking method""}"
priority,priority_c,C,Driver,What matters most to you?,1,Eating quality,Quality,1,1,0,0,-1,0,1,3,richness_vs_value|tenderness_vs_value,priority,"{""priority"":""Best eating quality""}"
priority,priority_c,C,Driver,What matters most to you?,2,Best value,Value,0,0,1,0,2,0,3,3,none,priority,"{""priority"":""Best value""}"
priority,priority_c,C,Driver,What matters most to you?,3,Consistency,Consistency,0,1,0,0,0,2,3,3,none,priority,"{""priority"":""Best consistency""}"
priority,priority_c,C,Driver,What matters most to you?,4,Method fit,Method,0,0,1,1,0,1,3,3,none,priority,"{""priority"":""Best fit for the cooking method""}"
flexibility,flexibility_a,A,Buying Style,"At the meat case, what usually guides your choice?",1,Stick with familiar cuts,Familiar-first,0,0,0,-2,1,1,0,4,none,comfort|expertiseBand|budget|substitution,"{""comfort"":""Need guidance / recipes"",""expertiseBand"":""Beginner"",""budget"":""Moderate"",""substitution"":""Low (exact cuts only)""}"
flexibility,flexibility_a,A,Buying Style,"At the meat case, what usually guides your choice?",2,Best quality within budget,Balanced quality,1,1,0,0,1,1,4,4,none,comfort|expertiseBand|budget|substitution,"{""comfort"":""Comfortable with common cuts"",""expertiseBand"":""Intermediate"",""budget"":""Mid-premium"",""substitution"":""Moderate (performance-based)""}"
flexibility,flexibility_a,A,Buying Style,"At the meat case, what usually guides your choice?",3,Best value for the meal,Value-first,0,0,1,1,2,0,4,4,none,comfort|budget|substitution,"{""comfort"":""Comfortable with common cuts"",""budget"":""Value-focused"",""substitution"":""High (cost-based)""}"
flexibility,flexibility_a,A,Buying Style,"At the meat case, what usually guides your choice?",4,Open to premium standouts,Premium-open,1,1,0,1,-1,1,3,5,richness_vs_value|tenderness_vs_value|precision_vs_value,comfort|expertiseBand|budget|substitution,"{""comfort"":""Expert cut fluency"",""expertiseBand"":""Intermediate"",""budget"":""Premium / no strict limit"",""substitution"":""Limited""}"
flexibility,flexibility_b,B,Buying Style,"At the meat case, what usually guides your choice?",1,Stick with familiar cuts,Familiar-first,0,0,0,-2,1,1,0,4,none,comfort|expertiseBand|budget|substitution,"{""comfort"":""Need guidance / recipes"",""expertiseBand"":""Beginner"",""budget"":""Moderate"",""substitution"":""Low (exact cuts only)""}"
flexibility,flexibility_b,B,Buying Style,"At the meat case, what usually guides your choice?",2,Best quality within budget,Balanced quality,1,1,0,0,1,1,4,4,none,comfort|expertiseBand|budget|substitution,"{""comfort"":""Comfortable with common cuts"",""expertiseBand"":""Intermediate"",""budget"":""Mid-premium"",""substitution"":""Moderate (performance-based)""}"
flexibility,flexibility_b,B,Buying Style,"At the meat case, what usually guides your choice?",3,Best value for the meal,Value-first,0,0,1,1,2,0,4,4,none,comfort|budget|substitution,"{""comfort"":""Comfortable with common cuts"",""budget"":""Value-focused"",""substitution"":""High (cost-based)""}"
flexibility,flexibility_b,B,Buying Style,"At the meat case, what usually guides your choice?",4,Open to premium standouts,Premium-open,1,1,0,1,-1,1,3,5,richness_vs_value|tenderness_vs_value|precision_vs_value,comfort|expertiseBand|budget|substitution,"{""comfort"":""Expert cut fluency"",""expertiseBand"":""Intermediate"",""budget"":""Premium / no strict limit"",""substitution"":""Limited""}"
flexibility,flexibility_c,C,Case Style,"At the meat case, what usually guides your choice?",1,Stick with familiar cuts,Familiar-first,0,0,0,-2,1,1,0,4,none,comfort|expertiseBand|budget|substitution,"{""comfort"":""Need guidance / recipes"",""expertiseBand"":""Beginner"",""budget"":""Moderate"",""substitution"":""Low (exact cuts only)""}"
flexibility,flexibility_c,C,Case Style,"At the meat case, what usually guides your choice?",2,Best quality within budget,Balanced quality,1,1,0,0,1,1,4,4,none,comfort|expertiseBand|budget|substitution,"{""comfort"":""Comfortable with common cuts"",""expertiseBand"":""Intermediate"",""budget"":""Mid-premium"",""substitution"":""Moderate (performance-based)""}"
flexibility,flexibility_c,C,Case Style,"At the meat case, what usually guides your choice?",3,Best value for the meal,Value-first,0,0,1,1,2,0,4,4,none,comfort|budget|substitution,"{""comfort"":""Comfortable with common cuts"",""budget"":""Value-focused"",""substitution"":""High (cost-based)""}"
flexibility,flexibility_c,C,Case Style,"At the meat case, what usually guides your choice?",4,Open to premium standouts,Premium-open,1,1,0,1,-1,1,3,5,richness_vs_value|tenderness_vs_value|precision_vs_value,comfort|expertiseBand|budget|substitution,"{""comfort"":""Expert cut fluency"",""expertiseBand"":""Intermediate"",""budget"":""Premium / no strict limit"",""substitution"":""Limited""}"
bone,bone_a,A,Bone,"For premium presentation, bone-in or boneless?",1,Boneless,Boneless,0,1,0,-1,0,1,1,3,none,bonePreference,"{""bonePreference"":""Boneless""}"
bone,bone_a,A,Bone,"For premium presentation, bone-in or boneless?",2,Bone-in,Bone-in,1,0,1,2,0,1,5,5,none,bonePreference,"{""bonePreference"":""Bone-in""}"
bone,bone_a,A,Bone,"For premium presentation, bone-in or boneless?",3,Either,Either,0,0,0,0,0,0,0,0,none,bonePreference,"{""bonePreference"":""Either""}"
bone,bone_b,B,Bone,"Bone-in, boneless, or either?",1,Boneless,Boneless,0,1,0,-1,0,1,1,3,none,bonePreference,"{""bonePreference"":""Boneless""}"
bone,bone_b,B,Bone,"Bone-in, boneless, or either?",2,Bone-in,Bone-in,1,0,1,2,0,1,5,5,none,bonePreference,"{""bonePreference"":""Bone-in""}"
bone,bone_b,B,Bone,"Bone-in, boneless, or either?",3,Either,Either,0,0,0,0,0,0,0,0,none,bonePreference,"{""bonePreference"":""Either""}"
bone,bone_c,C,Bone,"Bone-in, boneless, or either?",1,Boneless,Boneless,0,1,0,-1,0,1,1,3,none,bonePreference,"{""bonePreference"":""Boneless""}"
bone,bone_c,C,Bone,"Bone-in, boneless, or either?",2,Bone-in,Bone-in,1,0,1,2,0,1,5,5,none,bonePreference,"{""bonePreference"":""Bone-in""}"
bone,bone_c,C,Bone,"Bone-in, boneless, or either?",3,Either,Either,0,0,0,0,0,0,0,0,none,bonePreference,"{""bonePreference"":""Either""}"
